,Motif,Observed,Expected
0,,0.0,0
1,rsp,1.0,6
2,pm,5.0,6
3,am,12.0,6
4,al,62.0,6
5,lm,17.0,6
6,rsp+pm,0.0,1
7,rsp+am,2.0,1
8,rsp+al,1.0,1
9,rsp+lm,2.0,1
10,pm+am,1.0,1
11,pm+al,1.0,1
12,pm+lm,3.0,1
13,am+al,4.0,1
14,am+lm,0.0,1
15,al+lm,15.0,1
16,rsp+pm+am,0.0,0
17,rsp+pm+al,0.0,0
18,rsp+pm+lm,1.0,0
19,rsp+am+al,1.0,0
20,rsp+am+lm,0.0,0
21,rsp+al+lm,0.0,0
22,pm+am+al,2.0,0
23,pm+am+lm,0.0,0
24,pm+al+lm,0.0,0
25,am+al+lm,2.0,0
26,rsp+pm+am+al,0.0,0
27,rsp+pm+am+lm,0.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,0.0,0
30,pm+am+al+lm,1.0,0
31,rsp+pm+am+al+lm,0.0,0
