,Motif,Observed,Expected
0,,0.0,0
1,rsp,2.0,17
2,pm,32.0,17
3,am,64.0,17
4,al,58.0,17
5,lm,64.0,17
6,rsp+pm,0.0,4
7,rsp+am,2.0,4
8,rsp+al,0.0,4
9,rsp+lm,1.0,4
10,pm+am,20.0,4
11,pm+al,0.0,4
12,pm+lm,3.0,4
13,am+al,8.0,4
14,am+lm,8.0,4
15,al+lm,54.0,4
16,rsp+pm+am,2.0,1
17,rsp+pm+al,0.0,1
18,rsp+pm+lm,0.0,1
19,rsp+am+al,0.0,1
20,rsp+am+lm,0.0,1
21,rsp+al+lm,1.0,1
22,pm+am+al,0.0,1
23,pm+am+lm,4.0,1
24,pm+al+lm,0.0,1
25,am+al+lm,10.0,1
26,rsp+pm+am+al,1.0,0
27,rsp+pm+am+lm,1.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,2.0,0
30,pm+am+al+lm,3.0,0
31,rsp+pm+am+al+lm,0.0,0
