,Motif,Observed,Expected
0,,0.0,0
1,rsp,1.0,15
2,pm,13.0,15
3,am,134.0,15
4,al,38.0,15
5,lm,63.0,15
6,rsp+pm,0.0,3
7,rsp+am,7.0,3
8,rsp+al,0.0,3
9,rsp+lm,1.0,3
10,pm+am,4.0,3
11,pm+al,0.0,3
12,pm+lm,0.0,3
13,am+al,10.0,3
14,am+lm,10.0,3
15,al+lm,11.0,3
16,rsp+pm+am,3.0,0
17,rsp+pm+al,0.0,0
18,rsp+pm+lm,0.0,0
19,rsp+am+al,0.0,0
20,rsp+am+lm,0.0,0
21,rsp+al+lm,0.0,0
22,pm+am+al,0.0,0
23,pm+am+lm,1.0,0
24,pm+al+lm,1.0,0
25,am+al+lm,2.0,0
26,rsp+pm+am+al,0.0,0
27,rsp+pm+am+lm,0.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,0.0,0
30,pm+am+al+lm,0.0,0
31,rsp+pm+am+al+lm,0.0,0
